season,episode,title,airdate,rating,total_votes,desc,season_episode
6,18,Young Adult,28 Feb. 2017,7.6,579,"Jess recruits Nick and ""The Pepperwood Chronicles"" to help make her a cool principal.",6-18
6,19,Socalyalcon VI,14 Mar. 2017,7.6,599,Jess thinks she's been spending too much time acting like Reagan; Schmidt and Cece try to make their new home more secure; Aly tells Winston an embarrassing secret.,6-19
6,20,Misery,21 Mar. 2017,7.6,596,"Jess avoids her feelings for Nick by taking care of her dad (guest star Rob Reiner) in Portland. While attending a work party with Reagan, Nick panics that they really don't know each other. Meanwhile, Aly prepares to meet Winston's mom (guest star Anna Maria Horsford) for the first time, as Winston admits he hasn't told her they are cops.",6-20
6,21,San Diego,28 Mar. 2017,8.2,666,Jess and her dad help each other with their love lives; Nick turns to Aly for help with Reagan; Schmidt considers revealing his first name.,6-21
6,22,Five Stars for Beezus,4 Apr. 2017,9.2,"1,336","Jess prepares to tell Nick how she really feels about him. In other events, Nick has a meeting with a book publisher, Aly helps Winston reconnect with someone important and big news comes along for Schmidt and Cece.",6-22
7,1,About Three Years Later,10 Apr. 2018,7.3,771,Nick and Jess return from their European romance tour. Cece and Schmidt have issues perfecting their daughter's birthday party. Winston struggles with picking the optimal glamour photo for him and Aly.,7-1
7,2,Tuesday Meeting,17 Apr. 2018,7.1,625,Winston and Schmidt help Nick write his new book. Jess and Cece go to lunch and discuss their new jobs. Winston watches three men and a lady.,7-2
7,3,Lillypads,24 Apr. 2018,7.3,611,Schmidt and Jess clash over how to best prepare Ruth for preschool. Nick helps Winston to face his fears while trying to write some pages for his editor.,7-3
7,4,Where the Road Goes,1 May 2018,7.4,634,"The gang gathers for a one-year memorial service for a beloved friend. Meanwhile, Jess discovers Coach owes Nick a large sum of money.",7-4
7,5,Godparents,8 May 2018,7.2,585,"Winston and Aly choose a godparent for their baby, and Winston struggles with the reality of becoming a father. Schmidt returns to work while Cece takes her turn being a stay-at-home parent and Nick tries to make Ruth like him.",7-5
7,6,Mario,8 May 2018,7.8,629,Nick's plan to propose to Jess is thrown off course when they decide to get a dog; Winston sees color for the first time.,7-6
7,7,The Curse of the Pirate Bride,15 May 2018,8.0,674,"Jess makes some big decisions, in the first part of the special, one-hour series finale",7-7
7,8,Engram Pattersky,15 May 2018,8.4,981,"The gang get ready to say goodbye to the loft, but Jess isn't happy with how everyone is coping with their emotions",7-8
